START_ID,END_ID,round,date
132,6029,上市定增,2017-11-22
132,6035,新三板定增,2017-11-17
132,11796,新三板定增,2016-12-20
133,7094,IPO轮,2017-03-22
134,5962,IPO轮,2016-10-25
134,6581,新三板定增,2016-06-21
134,6585,新三板定增,2016-06-08
134,12085,新三板定增,2016-12-15
134,5752,新三板定增,2016-05-23
134,12217,新三板定增,2016-02-25
134,12226,新三板定增,2016-02-01
134,11641,新三板定增,2016-02-01
135,10970,新三板定增,2017-06-21
136,6075,新三板定增,2017-08-10
137,6156,A轮,2016-09-22
137,15111,A轮,2009-11-17
137,11631,A轮,2009-09-01
138,12176,新三板定增,2016-05-17
139,5475,A轮,2009-11-09
139,5475,A轮,2009-11-09
139,5475,B轮,2011-08-01
139,10700,A轮,2011-05-10
139,14714,新三板定增,2017-12-29
139,15213,新三板定增,2017-07-14
139,6559,新三板定增,2018-10-22
140,11739,A轮,2013-01-07
141,11726,A轮,2015-09-25
142,6023,IPO轮,2017-12-02
143,11614,E轮,2015-10-15
144,12157,新三板定增,2016-06-28
145,6491,IPO轮,2016-11-18
146,15087,A轮,2019-06-04
146,15087,A轮,2019-06-04
147,10886,新三板定增,2017-06-06
148,10291,IPO轮,2017-01-21
149,14443,新三板定增,2017-05-26
150,6123,新三板定增,2017-06-20
151,5557,B轮,2012-01-19
151,5557,B轮,2012-01-19
151,10930,新三板定增,2016-08-23
151,15132,A轮,2011-11-01
152,11280,新三板定增,2016-04-07
153,5981,A轮,2016-09-12
154,5669,A轮,2012-09-21
154,5669,A轮,2012-09-21
154,10852,A轮,2011-10-20
154,10852,B轮,2013-12-20
154,10852,新三板定增,2016-10-21
155,5540,上市定增,2019-07-17
155,6982,上市定增,2011-08-22
156,11300,A+轮,2018-10-08
157,6815,,2012-08-16
158,5614,新三板定增,2016-05-30
159,15410,IPO轮,2016-04-15
160,5335,B+轮,2019-09-06
160,5335,B+轮,2019-09-06
161,5692,A轮,2012-05-10
161,6190,A轮,2011-06-21
161,11681,A轮,2010-09-28
161,11210,C轮,2013-08-21
161,11210,C轮,2013-08-21
162,5484,IPO轮,2017-04-11
163,11852,天使轮,2017-07-05
164,15297,新三板定增,2017-07-04
165,5783,B轮,2015-11-09
166,12027,天使轮,2017-04-26
167,12044,新三板定增,2018-08-08
168,6607,新三板定增,2016-05-11
169,5900,天使轮,2014-10-10
170,5602,A轮,2010-12-20
171,5809,新三板定增,2016-12-21
172,5415,,2018-08-22
173,15097,A轮,2019-03-21
174,15091,A轮,2019-04-30
175,12029,A轮,2009-09-29
176,5926,B轮,2016-12-20
177,14920,新三板定增,2017-01-06
178,11407,天使轮,2017-09-13
178,6243,天使轮,2018-07-06
179,6046,,2017-11-02
180,6069,,2017-08-18
180,5414,天使轮,2018-12-01
180,6147,PRE-A轮,2019-01-04
180,5959,,2017-11-21
181,5565,IPO轮,2016-08-18
182,5552,F轮,2012-03-07
183,11755,A轮,2014-08-01
184,12241,A轮,2019-11-01
185,6123,新三板定增,2017-06-20
186,12006,IPO轮,2017-06-30
187,6491,IPO轮,2016-11-18
188,5559,IPO轮,2016-12-06
189,10398,,2019-08-29
189,11398,B轮,2016-03-22
190,6182,天使轮,2016-11-01
191,11879,C轮,2018-08-07
192,5371,B轮,2019-06-06
192,5371,B轮,2019-06-06
192,5923,A轮,2015-09-12
192,5988,B轮,2016-08-19
192,5371,B轮,2019-06-25
192,5371,A轮,2018-06-04
192,6211,B+轮,2019-11-14
192,5371,A轮,2018-06-04
193,11821,新三板定增,2017-12-04
194,5392,A轮,2019-04-08
194,5392,A轮,2019-04-08
194,6168,A轮,2018-06-03
195,6577,新三板定增,2016-06-24
196,11386,IPO轮,2016-08-31
197,5505,IPO轮,2018-03-27
198,7183,C+轮,2019-03-06
199,11580,上市定增,2019-04-24
200,12396,上市定增,2017-12-21
201,11560,A轮,2018-10-12
202,6011,,2017-09-19
203,5688,B轮,2015-09-25
204,11442,B轮,2019-02-13
205,5866,天使轮,2015-12-01
205,5980,,2016-09-12
205,6164,天使轮,2018-06-12
205,6164,天使轮,2017-08-11
205,5908,A轮,2016-10-01
206,11124,B轮,2015-11-11
207,5383,B轮,2019-05-09
207,5383,B轮,2019-05-09
207,5520,A轮,2015-12-23
208,5409,B轮,2019-03-04
209,15410,IPO轮,2016-04-15
210,6033,A轮,2017-11-20
211,5668,E轮,2018-12-06
212,6589,新三板定增,2016-05-27
213,11938,新三板定增,2018-03-14
214,5527,B轮,2010-09-01
214,5580,A+轮,2011-12-23
214,5457,C轮,2011-12-12
214,5606,上市定增,2011-09-05
214,5527,B轮,2010-09-01
214,5580,A+轮,2011-12-23
214,5457,C轮,2011-12-12
214,5606,上市定增,2011-09-05
214,5696,B轮,2012-04-19
214,11619,C轮,2009-03-01
214,11640,A轮,2010-04-28
214,11699,A轮,2012-07-25
214,7143,D轮,2015-10-21
214,7181,C+轮,2018-12-07
214,11913,C轮,2018-08-14
214,5812,A轮,2011-12-20
214,5552,E轮,2011-12-01
214,5696,A轮,2011-09-16
214,5552,F轮,2012-03-07
214,5527,C轮,2012-03-01
214,14789,上市定增,2015-12-24
214,6446,B轮,2015-11-15
214,6327,B轮,2017-09-14
215,6351,新三板定增,2017-08-22
216,5332,上市定增,2019-09-11
216,5332,上市定增,2019-09-11
216,6334,上市定增,2017-10-09
217,6852,定向增发,2017-10-18
218,6026,IPO轮,2017-11-29
219,6278,天使轮,2016-10-21
220,15292,新三板定增,2017-07-31
221,5527,A轮,2010-06-01
221,5527,A轮,2010-06-01
222,5764,A轮,2013-03-25
222,5960,,2016-10-31
223,11010,B轮,2017-01-12
223,11010,A轮,2014-12-07
224,11974,A轮,2014-12-29
224,11974,新三板定增,2017-11-09
224,10762,A轮,2018-01-18
225,11728,D轮,2017-12-27
226,5561,B轮,2015-12-25
227,14865,新三板定增,2018-01-04
228,11611,A轮,2009-10-22
229,6685,A+轮,2018-05-07
230,6223,天使轮,2001-07-30
231,15126,B轮,2012-06-28
232,11732,B轮,2013-06-13
233,11943,IPO轮,2018-02-28
234,5538,B轮,2010-07-12
234,5538,B轮,2010-07-12
235,14845,C轮,2016-12-26
236,11728,D轮,2017-12-27
237,11199,新三板定增,2017-09-21
238,6491,IPO轮,2016-11-18
239,5337,,2017-10-30
240,6365,新三板定增,2017-07-21
241,6751,A轮,2011-09-08
241,5323,A轮,2011-11-01
242,6716,,2018-05-04
243,5325,天使轮,2012-06-01
244,6168,A+轮,2018-10-19
244,6168,A轮,2018-10-18
244,6168,,2018-10-19
245,5668,E轮,2018-12-06
245,5668,C+轮,2018-12-06
246,11773,B轮,2015-11-25
247,5585,A轮,2011-12-14
247,5585,A轮,2011-12-14
247,5635,E轮,2011-08-25
247,11011,A轮,2016-05-27
248,5430,天使轮,2010-11-26
249,6519,IPO轮,2016-09-23
250,5429,A轮,2008-12-23
250,5429,A轮,2008-12-23
250,5864,,2015-11-09
250,5429,A轮,2009-01-01
250,11261,A轮,2008-05-06
250,6174,天使轮,2011-11-01
251,6693,B轮,2016-11-30
251,5961,B轮,2016-10-28
252,5364,,2019-06-25
252,5364,,2019-06-25
253,11326,A轮,2017-02-21
254,7416,IPO轮,2016-09-27
255,6680,新三板定增,2016-01-22
256,12058,A轮,2017-02-18
257,10907,新三板定增,2017-04-12
258,6071,,2017-08-17
259,6635,天使轮,2016-04-11
260,11380,A轮,2012-02-06
260,6242,A轮,2017-06-14
261,12016,IPO轮,2017-05-27
262,6678,天使轮,2016-01-22
263,5890,B轮,2017-11-15
263,6088,B轮,2017-07-14
264,7123,A轮,2011-05-05
265,6360,IPO轮,2017-08-01
266,5937,新三板定增,2017-10-25
267,11741,天使轮,2014-12-31
268,11210,D轮,2014-12-04
268,11828,新三板定增,2017-10-27
268,5937,,2018-05-28
269,6082,天使轮,2017-07-28
270,5489,D轮,2009-06-03
270,5489,D轮,2009-06-03
270,5705,C轮,2012-03-01
270,5749,A轮,2013-07-01
270,5410,B轮,2018-06-29
270,10829,D轮,2019-06-20
270,5504,B轮,2010-11-01
270,5705,B轮,2011-10-18
270,6361,A轮,2015-09-08
270,6227,B轮,2017-07-11
270,11570,A轮,2019-01-18
270,7181,C+轮,2018-12-07
270,11911,,2018-08-21
270,6140,PRE-B轮,2018-08-06
270,5504,B轮,2010-12-20
270,10829,D+轮,2019-09-17
270,11664,A轮,2011-03-01
270,15181,A轮,2015-11-01
270,11137,,2017-12-05
270,11570,A轮,2018-11-02
270,10829,D轮,2019-09-17
271,5520,A轮,2015-04-17
272,10730,A轮,2019-02-03
273,5868,,2015-12-01
273,5944,A轮,2016-12-01
273,6278,B轮,2018-02-13
273,11565,E轮,2019-08-13
273,5886,B轮,2018-12-03
273,6249,A轮,2016-12-01
273,5882,A+轮,2017-11-14
