id:ID,Label,name
761,Investor,青岛华资达信创业投资有限公司
762,Investor,智盈汇融投资管理(北京)有限公司
763,Investor,粤财资产
764,Investor,国投创新投资管理有限公司
765,Investor,旭日东升投资
766,Investor,华东电子工程研究所
767,Investor,国民信托有限公司-国民信托-北京长城华冠单一资金信托
768,Investor,谷银国际投资基金
769,Investor,SK海力士
770,Investor,西藏昆吾九鼎
771,Investor,中国银行
772,Investor,吉富创投
773,Investor,混沌投资
774,Investor,成都技术转移集团
775,Investor,泰达宏利基金
776,Investor,源石资本
777,Investor,广东华美国际投资集团有限公司
778,Investor,诚承投资
779,Investor,林芝腾讯
780,Investor,中金甲子
781,Investor,银杏谷资本
782,Investor,辰海资本
783,Investor,新余市励唐会智投资管理中心(有限合伙)
784,Investor,鼎聚投资
785,Investor,LB投资(LB Investment)
786,Investor,华创证券有限责任公司
787,Investor,三鑫医疗
788,Investor,深圳前海信义一德
789,Investor,三行资本
790,Investor,启迪科服投资管理(北京)有限公司
791,Investor,荆门汇盈兴和股权投资合伙企业(有限合伙)
792,Investor,万容资本
793,Investor,华科创投
794,Investor,旗银创投
795,Investor,保利资本
796,Investor,华岩资本
797,Investor,深圳朗泽稳健一号产学研投资合伙企业(有限合伙)
798,Investor,北京朗玛峰创业投资管理有限公司
799,Investor,北京基石基金
800,Investor,仙瞳资本
801,Investor,湖北幸福垸实业集团有限公司
802,Investor,国泰君安
803,Investor,珠海创钰铭启股权投资基金企业(有限合伙)
804,Investor,宁波挚信一期股权投资合伙企业(有限合伙)
805,Investor,南京高科
806,Investor,青岛鼎源资产管理有限公司
807,Investor,北京高达同道投资
808,Investor,上海航天工业(集团)有限公司
809,Investor,福建合晖投资管理有限公司
810,Investor,上海鲸狮投资
811,Investor,浦发银行
812,Investor,长沙市科技风险投资管理有限公司
813,Investor,黄金创投
814,Investor,山西吉昌投资有限公司
815,Investor,浙江省华浙实业开发有限责任公司
816,Investor,中通银莱
817,Investor,北京富源恒业投资有限责任公司
818,Investor,珞珈梧桐创投
819,Investor,歌石投资
820,Investor,强生控股
821,Investor,十方创投
822,Investor,国开博裕
823,Investor,鄞州钰华
824,Investor,动平衡资本
825,Investor,光大保德信基金-宁波银行-新三板1号资产管理计划
826,Investor,蚂蚁金服
827,Investor,厚生投资
